NTC 2024-08-03 03:10:49.264+00:00 REST service started                       tid=1 file=server.nim:186 address=0.0.0.0:32755
INF 2024-08-03 03:10:49.264+00:00 Starting REST HTTP server                  tid=1 file=builder.nim:105 url=http://0.0.0.0:32755/
INF 2024-08-03 03:10:49.264+00:00 Running nwaku node                         topics="wakunode main" tid=1 file=waku.nim:124 version=v0.31.0-20-ga3fa17
INF 2024-08-03 03:10:49.264+00:00 Configuration: Enabled protocols           topics="wakunode waku" tid=1 file=waku.nim:58 relay=true rlnRelay=false store=false filter=false lightpush=true peerExchange=true
INF 2024-08-03 03:10:49.264+00:00 Configuration. Network                     topics="wakunode waku" tid=1 file=waku.nim:66 cluster=3 maxPeers=none(int)
DBG 2024-08-03 03:10:49.264+00:00 Retrieve dynamic bootstrap nodes           topics="wakunode main" tid=1 file=waku.nim:134
DBG 2024-08-03 03:10:49.264+00:00 No method for retrieving dynamic bootstrap nodes specified. topics="waku dnsdisc" tid=1 file=waku_dnsdisc.nim:127
DBG 2024-08-03 03:10:49.264+00:00 Setting up storage                         tid=1 file=node_factory.nim:436
DBG 2024-08-03 03:10:49.264+00:00 Initializing node                          tid=1 file=node_factory.nim:445
TRC 2024-08-03 03:10:49.265+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:227 protos="@[\"/ipfs/id/1.0.0\"]"
TRC 2024-08-03 03:10:49.265+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:227 protos="@[\"/libp2p/autonat/1.0.0\"]"
TRC 2024-08-03 03:10:49.265+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:227 protos="@[\"/libp2p/circuit/relay/0.2.0/hop\", \"/libp2p/circuit/relay/0.1.0\"]"
TRC 2024-08-03 03:10:49.265+00:00 no peer storage found                      tid=1 file=peer_manager.nim:540
INF 2024-08-03 03:10:49.265+00:00 Initializing networking                    tid=1 file=waku_node.nim:154 addrs="@[/ip4/172.18.200.239/tcp/32756, /ip4/172.18.200.239/tcp/32757/ws]"
DBG 2024-08-03 03:10:49.265+00:00 Mounting protocols                         tid=1 file=node_factory.nim:451
INF 2024-08-03 03:10:49.265+00:00 Created WakuMetadata protocol              topics="waku node" tid=1 file=protocol.nim:118 clusterId=3 shards={0}
TRC 2024-08-03 03:10:49.265+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:227 protos="@[\"/vac/waku/metadata/1.0.0\"]"
INF 2024-08-03 03:10:49.265+00:00 mounting sharding                          topics="waku node" tid=1 file=waku_node.nim:219 clusterId=3 shardCount=0
DBG 2024-08-03 03:10:49.265+00:00 Shards created from content topics         tid=1 file=node_factory.nim:156 contentTopics=@[] shards=@[]
DBG 2024-08-03 03:10:49.265+00:00 Setting max message size                   tid=1 file=node_factory.nim:165 num_bytes=153600
INF 2024-08-03 03:10:49.265+00:00 mounting relay protocol                    topics="waku node" tid=1 file=waku_node.nim:412
TRC 2024-08-03 03:10:49.265+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:227 protos="@[\"/vac/waku/relay/2.0.0\", \"/meshsub/1.2.0\", \"/meshsub/1.1.0\", \"/meshsub/1.0.0\", \"/meshsub/1.2.0\", \"/meshsub/1.1.0\", \"/meshsub/1.0.0\"]"
INF 2024-08-03 03:10:49.265+00:00 relay mounted successfully                 topics="waku node" tid=1 file=waku_node.nim:432 pubsubTopics=@[]
DBG 2024-08-03 03:10:49.265+00:00 adding validator to signed topics          tid=1 file=validator_signed.nim:54
INF 2024-08-03 03:10:49.265+00:00 mounting rendezvous discovery protocol     topics="waku node" tid=1 file=waku_node.nim:1218
TRC 2024-08-03 03:10:49.265+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:227 protos="@[\"/rendezvous/1.0.0\"]"
INF 2024-08-03 03:10:49.265+00:00 mounting libp2p ping protocol              topics="waku node" tid=1 file=waku_node.nim:1171
TRC 2024-08-03 03:10:49.265+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:227 protos="@[\"/ipfs/ping/1.0.0\"]"
INF 2024-08-03 03:10:49.265+00:00 mounting store client                      topics="waku node" tid=1 file=waku_node.nim:932
INF 2024-08-03 03:10:49.265+00:00 mounting legacy store client               topics="waku node" tid=1 file=waku_node.nim:800
INF 2024-08-03 03:10:49.265+00:00 mounting light push                        topics="waku node" tid=1 file=waku_node.nim:966
DBG 2024-08-03 03:10:49.265+00:00 mounting lightpush with relay              topics="waku node" tid=1 file=waku_node.nim:973
DBG 2024-08-03 03:10:49.265+00:00 mounting lightpush without rln-relay       topics="waku node" tid=1 file=waku_node.nim:976
TRC 2024-08-03 03:10:49.265+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:227 protos="@[\"/vac/waku/lightpush/2.0.0-beta1\"]"
INF 2024-08-03 03:10:49.265+00:00 mounting waku peer exchange                topics="waku node" tid=1 file=waku_node.nim:1110
TRC 2024-08-03 03:10:49.265+00:00 registering protocols                      topics="libp2p multistream" tid=1 file=multistream.nim:227 protos="@[\"/vac/waku/peer-exchange/2.0.0-alpha1\"]"
INF 2024-08-03 03:10:49.265+00:00 Starting Waku node                         topics="waku node" tid=1 file=waku_node.nim:1272 version=v0.31.0-20-ga3fa17
INF 2024-08-03 03:10:49.265+00:00 starting relay protocol                    topics="waku node" tid=1 file=waku_node.nim:378
DBG 2024-08-03 03:10:49.265+00:00 start                                      topics="waku relay" tid=1 file=protocol.nim:261
TRC 2024-08-03 03:10:49.265+00:00 gossipsub start                            topics="libp2p gossipsub" tid=1 file=gossipsub.nim:823
TRC 2024-08-03 03:10:49.265+00:00 running heartbeat                          topics="libp2p gossipsub" tid=1 file=behavior.nim:775 instance=140048350356544
TRC 2024-08-03 03:10:49.265+00:00 getting gossip peers (iHave)               topics="libp2p gossipsub" tid=1 file=behavior.nim:647 ntopics=0
TRC 2024-08-03 03:10:49.265+00:00 running scoring heartbeat                  topics="libp2p gossipsub" tid=1 file=scoring.nim:318 instance=140048350356544
TRC 2024-08-03 03:10:49.265+00:00 updating scores                            topics="libp2p gossipsub" tid=1 file=scoring.nim:150 peers=0
TRC 2024-08-03 03:10:49.265+00:00 updated scores                             topics="libp2p gossipsub" tid=1 file=scoring.nim:314 peers=0
INF 2024-08-03 03:10:49.266+00:00 relay started successfully                 topics="waku node" tid=1 file=waku_node.nim:399
DBG 2024-08-03 03:10:49.266+00:00 starting switch for peer                   topics="libp2p switch" tid=1 file=switch.nim:312 peerInfo="(peerId: \"16Uiu2HAmGNtM2rQ8abySFNhqPDFY4cmfAEpfo9Z9fD3NekoFR2ip\", listenAddrs: @[\"/ip4/0.0.0.0/tcp/32757/ws\", \"/ip4/0.0.0.0/tcp/32756\"], addrs: @[], protocols: @[\"/ipfs/id/1.0.0\", \"/libp2p/autonat/1.0.0\", \"/libp2p/circuit/relay/0.2.0/hop\", \"/vac/waku/metadata/1.0.0\", \"/vac/waku/relay/2.0.0\", \"/rendezvous/1.0.0\", \"/ipfs/ping/1.0.0\", \"/vac/waku/lightpush/2.0.0-beta1\", \"/vac/waku/peer-exchange/2.0.0-alpha1\"], protoVersion: \"ipfs/0.1.0\", agentVersion: \"nwaku\")"
TRC 2024-08-03 03:10:49.266+00:00 Starting TCP transport                     topics="libp2p tcptransport" tid=1 file=tcptransport.nim:122
TRC 2024-08-03 03:10:49.266+00:00 Listening on                               topics="libp2p tcptransport" tid=1 file=tcptransport.nim:144 address=/ip4/0.0.0.0/tcp/32756
TRC 2024-08-03 03:10:49.266+00:00 starting transport on addrs                topics="libp2p transport" tid=1 file=transport.nim:46 address=@[/ip4/0.0.0.0/tcp/32756]
TRC 2024-08-03 03:10:49.266+00:00 starting transport on addrs                topics="libp2p transport" tid=1 file=transport.nim:46 address=@[/ip4/0.0.0.0/tcp/32757/ws]
TRC 2024-08-03 03:10:49.266+00:00 Starting WS transport                      topics="libp2p wstransport" tid=1 file=wstransport.nim:128
TRC 2024-08-03 03:10:49.266+00:00 Created HTTP Server                        topics="libp2p wstransport" tid=1 file=server.nim:261 host=0.0.0.0:32757
TRC 2024-08-03 03:10:49.266+00:00 Listening on                               topics="libp2p wstransport" tid=1 file=wstransport.nim:172 addresses=@[/ip4/0.0.0.0/tcp/32757/ws]
DBG 2024-08-03 03:10:49.266+00:00 About to accept incoming connection        topics="libp2p switch" tid=1 file=switch.nim:234
TRC 2024-08-03 03:10:49.266+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=3 queue=0
TRC 2024-08-03 03:10:49.266+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=49 queue=0
DBG 2024-08-03 03:10:49.266+00:00 About to accept incoming connection        topics="libp2p switch" tid=1 file=switch.nim:234
TRC 2024-08-03 03:10:49.266+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=3 queue=0
TRC 2024-08-03 03:10:49.266+00:00 Acquired slot                              topics="libp2p semaphore" tid=1 file=semaphore.nim:38 available=48 queue=0
TRC 2024-08-03 03:10:49.266+00:00 Awaiting new request                       topics="websock http-server" tid=1 file=server.nim:193
DBG 2024-08-03 03:10:49.266+00:00 Setting up WildcardAddressResolverService  topics="libp2p wildcardresolverservice" tid=1 file=wildcardresolverservice.nim:170
INF 2024-08-03 03:10:49.266+00:00 Setting up AutonatService                  topics="libp2p autonatservice" tid=1 file=service.nim:207
TRC 2024-08-03 03:10:49.266+00:00 Running AutonatService                     topics="libp2p autonatservice" tid=1 file=service.nim:225
TRC 2024-08-03 03:10:49.266+00:00 Asking peers for reachability              topics="libp2p autonatservice" tid=1 file=service.nim:164
TRC 2024-08-03 03:10:49.266+00:00 gossipsub start                            topics="libp2p gossipsub" tid=1 file=gossipsub.nim:823
WRN 2024-08-03 03:10:49.266+00:00 Starting gossipsub twice                   topics="libp2p gossipsub" tid=1 file=gossipsub.nim:826
